Company,Investor,Stage,Type
ACCELDATA,Lightspeed Venture,Series A,AI
APNA,,,
BYJUâ€™S,Lightspeed Venture,PE,Edutech
DARWINBOX,,Series C,Information Technology & Services
DUKAAN,,Seed,E-commerce/Ecommerce
FOXY,,Series A,E-commerce/Ecommerce
FREIGHT TIGER,,Series A,Logistic Tech
FRESHMENU,,,
FRONTROW,,Seed,Edutech
INDIAN ENERGY EXCHANGE,,,
INNOVACCER,,Series D,Healthcare
ITZCASH CARD,,,Fintech
LIMEROAD,,,
MAGICPIN,,Series D,Internet
NEUU STORE,,Seed,Fintech
OKCREDIT,,Series B,Internet
ONE ASSIST,,Series C,Fintech
OYO ROOMS,,,E-commerce/Ecommerce
PEPPER CONTENT,,Series A,Information Technology & Services
PROPERTY SHARE,,Series A,E-commerce/Ecommerce
REDCARPET,,,Fintech
SETU,,Series A,Fintech
SHARECHAT,,,Internet
SHUTTL,,Series C,Information Technology & Services
TEACHMINT,,Seed,Edutech
UDAAN,,Series D,Internet
UNI,,Seed,Fintech
YELLOW MESSENGER,,Series B,AI
ZETWERK,,Series D,Information Technology & Services
ZOLVE,,Seed,Fintech
Ask Nicely,,Series A,Computer Software
Biz2credit,,Series B,Fintech
blueshift,,Series C,Internet
circleoflife,,,Telco
craftsvilla,,Series C,Internet